Issue ID,Issue Labels,Issue URL,Status,Found by,Symptoms,Test validity,Stage,Bug Cause,# Affected module,Issue Title,Issue create date,Issue closed date,PR ID,PR URL,PR Title,PR create date,PR closed date,Bug duration,Fix loc,Fix files,Fix modules,Bug priority,Reopen?,Test case (original),Test case (reduced),core,async,dyn,std,Lifetime,trait,flag,command,unstable features
134541,"{'I-ICE', 'A-MIR', 'T-compiler', 'C-bug', 'E-needs-mcve'}",https://github.com/rust-lang/rust/issues/134541,exclude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133904,"{'I-ICE', 'A-MIR', 'T-compiler', 'A-const-eval', 'S-has-mcve', 'C-bug', 'A-repr'}",https://github.com/rust-lang/rust/issues/133904,duplicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133529,"{'A-async-await', 'A-impl-trait', 'requires-nightly', 'A-edition-2024'}",https://github.com/rust-lang/rust/issues/133529,Not a bug,,,,,,,Edition 2024 now reports: argument requires that `'1` must outlive `'static`,2024-11-27T09:36:42Z,2024-11-27T16:04:44Z,,,,,,0,,,,,0,,,,,,,,,,,
133427,"{'T-types', 'A-impl-trait', 'I-unsound', 'P-high', 'C-bug', 'F-return_position_impl_trait_in_trait'}",https://github.com/rust-lang/rust/issues/133427,valid,members,3. Miscompilation-Safe Rust Causes UB,,2. HIR-type & wf check,1. Type-Opaque Types,1,RPITITs may imply unsound outlives for late-bound args in signature,2024-11-24T22:32:26Z,2024-11-28T06:18:17Z,133428,https://github.com/rust-lang/rust/pull/133428,Actually use placeholder regions for trait method late bound regions in `collect_return_position_impl_trait_in_trait_tys`,2024/11/24 23:13,2024/11/28 6:18,3,136,"['compare_impl_item.rs', 'do-not-imply-from-trait-impl.rs', 'do-not-imply-from-trait-impl.stderr', 'method-signature-matches.lt.stderr', 'rpitit-hidden-types-self-implied-wf.stderr', 'signature-mismatch.failure.stderr', 'signature-mismatch.rs', 'rpitit-impl-captures-too-much.stderr']","['compiler/rustc_hir_analysis/src/check', 'tests/ui/impl-trait/in-trait', 'tests/ui/impl-trait/in-trait', 'tests/ui/impl-trait/in-trait', 'tests/ui/impl-trait/in-trait', 'tests/ui/impl-trait/in-trait', 'tests/ui/impl-trait/in-trait', 'tests/ui/impl-trait/precise-capturing']",P-high,0,"use std::sync::Mutex;
 
 static MUTEX: Mutex<Option<&'static str>> = Mutex::new(None);
 
 trait Foo {
 fn foo<'a: 'static>(&self) -> impl Sized;
 }
 
 impl Foo for str {
 fn foo<'a: 'static>(&'a self) -> impl Sized + 'a {
 *MUTEX.lock().unwrap() = Some(self);
 }
 }
 
 fn call_foo<T: Foo + ?Sized>(s: &T) {
 s.foo();
 }
 
 fn main() {
 let s = String::from(""hello, world"");
 call_foo(s.as_str());
 drop(s);
 println!(""> {}"", MUTEX.lock().unwrap().unwrap());
 }","use std::sync::Mutex;
 
 static MUTEX: Mutex<Option<&'static str>> = Mutex::new(None);
 
 trait Foo {
 fn foo<'a: 'static>(&self) -> impl Sized;
 }
 
 impl Foo for str {
 fn foo<'a: 'static>(&'a self) -> impl Sized + 'a {
 *MUTEX.lock().unwrap() = Some(self);
 }
 }
 
 fn call_foo<T: Foo + ?Sized>(s: &T) {
 s.foo();
 }
 
 fn main() {
 let s = String::from(""hello, world"");
 call_foo(s.as_str());
 drop(s);
 println!(""> {}"", MUTEX.lock().unwrap().unwrap());
 }",,,,1,1,Sized,,,
133388,"{'I-ICE', 'A-trait-objects', 'T-types', 'C-bug'}",https://github.com/rust-lang/rust/issues/133388,valid,members,1. Crash-Front-end Panic,invalid,2. HIR-type & wf check,1. Type-Trait & Bound,1,Check for `dyn` providing all of its projections is incomplete w.r.t. different supertrait substitutions,2024-11-23T17:09:06Z,2024-12-15T04:43:08Z,133392,https://github.com/rust-lang/rust/pull/133392,Fix ICE when multiple supertrait substitutions need assoc but only one is provided,2024/11/23 18:48,2024/12/15 4:43,21,347,"['dyn_compatibility.rs', 'errors.rs', 'missing-associated-types.stderr', 'assoc_type_bounds.rs', 'assoc_type_bounds.stderr', 'assoc_type_bounds2.rs', 'assoc_type_bounds2.stderr', 'require-assoc-for-all-super-substs.rs', 'require-assoc-for-all-super-substs.stderr', 'issue-28344.stderr']","['compiler/rustc_hir_analysis/src/hir_ty_lowering', 'compiler/rustc_hir_analysis/src/hir_ty_lowering', 'tests/ui/associated-types', 'tests/ui/dyn-compatibility', 'tests/ui/dyn-compatibility', 'tests/ui/dyn-compatibility', 'tests/ui/dyn-compatibility', 'tests/ui/dyn-compatibility', 'tests/ui/dyn-compatibility', 'tests/ui/issues']",,0,"trait Sup<T> {
 type Assoc: Default;
 }
 
 impl<T: Default> Sup<T> for () {
 type Assoc = T;
 }
 impl<T: Default, U: Default> Dyn<T, U> for () {}
 
 trait Dyn<A, B>: Sup<A, Assoc = A> + Sup<B> {}
 
 fn main() {
 let q: <dyn Dyn<i32, u32> as Sup<u32>>::Assoc = Default::default();
 }","trait Sup<T> {
 type Assoc: Default;
 }
 
 impl<T: Default> Sup<T> for () {
 type Assoc = T;
 }
 impl<T: Default, U: Default> Dyn<T, U> for () {}
 
 trait Dyn<A, B>: Sup<A, Assoc = A> + Sup<B> {}
 
 fn main() {
 let q: <dyn Dyn<i32, u32> as Sup<u32>>::Assoc = Default::default();
 }",,,1,,,Default,,,
133252,"{'I-ICE', 'S-bug-has-test', 'T-compiler', 'S-has-mcve', 'C-bug', 'A-borrow-checker', 'A-edition-2024'}",https://github.com/rust-lang/rust/issues/133252,exclude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133064,"{'I-ICE', 'S-has-bisection', 'A-HIR', 'T-compiler', 'S-has-mcve', 'C-bug', 'A-macros'}",https://github.com/rust-lang/rust/issues/133064,valid,icemaker,1. Crash-Front-end Panic,invalid,1. AST,4. Basic syntax&structure,5,ICE: `node HirId .. cannot be placed in TypeckResults with hir_owner DefId ..`,2024-11-15T08:38:01Z,2024-11-28T18:59:52Z,133468,https://github.com/rust-lang/rust/pull/133468,always create `DefId`s for anon consts,2024/11/25 17:52,2024/11/28 18:59,13,803,"['ast.rs', 'asm.rs', 'expr.rs', 'lib.rs', 'def.rs', 'encoder.rs', 'def_collector.rs', 'late.rs', 'lib.rs', 'const_arg_trivial_macro_expansion-1.rs', 'const_arg_trivial_macro_expansion-3-pass.rs', 'const_arg_trivial_macro_expansion-4.rs', 'const_arg_trivial_macro_expansion-4.stderr', 'issue-36163.stderr']","['compiler/rustc_ast/src', 'compiler/rustc_ast_lowering/src', 'compiler/rustc_ast_lowering/src', 'compiler/rustc_ast_lowering/src', 'compiler/rustc_hir/src', 'compiler/rustc_metadata/src/rmeta', 'compiler/rustc_resolve/src', 'compiler/rustc_resolve/src', 'compiler/rustc_resolve/src', 'tests/ui/const-generics/early', 'tests/ui/const-generics/early', 'tests/ui/const-generics/early', 'tests/ui/const-generics/early', 'tests/ui/consts']",,0,"pub struct Foo<T, const N: usize>([T; 0]);
 
 impl<T, const N: usize> Foo<T, {
 thread_local! { pub static FOO : Foo = Foo { } ; }
 
 #[cfg(cfail2)]
 {
 FOO.with(|_f| ())
 }
 }> {
 pub fn new() -> Self {
 Foo([])
 }
 }
 
 fn STATIC_NO_MANGLE() {
 let _: Foo<u32, 0> = Foo::new();
 }","impl<T>
 Foo<
 T,
 {
 thread_local! { pub static FOO : Foo = Foo { } ; }
 },
 >
 {
 }",,,,,,,,,
132920,"{'I-ICE', 'A-trait-system', 'P-high', 'regression-from-stable-to-nightly', 'T-compiler', 'S-has-mcve', 'C-bug', 'A-diagnostics'}",https://github.com/rust-lang/rust/issues/132920,valid,developer,1. Crash-Front-end Panic,valid,2. HIR-report,5. Exception Handling & Report,1,error: the compiler unexpectedly panicked. this is a bug.,2024-11-11T21:26:09Z,2024-11-27T04:53:00Z,133304,https://github.com/rust-lang/rust/pull/133304,Revert diagnostics hack to fix ICE 132920,2024/11/21 18:02,2024/11/27 4:53,15,126,"['fulfillment_errors.rs', 'rmake.rs', 'minibevy.rs', 'minirapier.rs', 'repro.rs', 'rmake.rs']","['compiler/rustc_trait_selection/src/error_reporting/traits', 'tests/run-make/crate-loading', 'tests/run-make/diagnostics-traits-from-duplicate-crates', 'tests/run-make/diagnostics-traits-from-duplicate-crates', 'tests/run-make/diagnostics-traits-from-duplicate-crates', 'tests/run-make/diagnostics-traits-from-duplicate-crates']",P-high,0,,,,,,,,,,bevy,
132805,"{'T-compiler', 'C-bug', 'A-CLI', 'A-mir-opt', 'A-diagnostics'}",https://github.com/rust-lang/rust/issues/132805,valid,icemaker,4. Diagnostic Issues-Incorrect Warning/Error,,3. MIR-report,5. Exception Handling & Report,2,`-Zmir-enable-passes=` has no error handling,2024-11-09T11:43:02Z,2024-11-12T21:18:13Z,132901,https://github.com/rust-lang/rust/pull/132901,Warn about invalid `mir-enable-passes` pass names,2024/11/11 13:06,2024/11/12 21:18,3,292,"['messages.ftl', 'errors.rs', 'lib.rs', 'pass_manager.rs', 'enable_passes_validation.all_unknown.stderr', 'enable_passes_validation.empty.stderr', 'enable_passes_validation.mixed.stderr', 'enable_passes_validation.rs', 'enable_passes_validation.unprefixed.stderr']","['compiler/rustc_mir_transform', 'compiler/rustc_mir_transform/src', 'compiler/rustc_mir_transform/src', 'compiler/rustc_mir_transform/src', 'tests/ui/mir', 'tests/ui/mir', 'tests/ui/mir', 'tests/ui/mir', 'tests/ui/mir']",,0,,,,,,,,,-Zmir-enable-passes=+X,=-Zmir-enable-passes=+ThisPassDoesNotExist,
132691,"{'I-ICE', 'A-associated-items', 'A-trait-objects', 'T-types', 'T-compiler', 'C-bug'}",https://github.com/rust-lang/rust/issues/132691,duplicate,,,,,,,[ICE]: error performing operation: fully_perform,2024-11-06T12:45:24Z,2024-11-06T15:48:46Z,,,,,,0,,,,,0,,,,,,,,,,,
