Issue ID,Issue Labels,Issue URL,Issue Title,Issue create date,Issue closed date,PR ID,PR URL,PR Title,PR create date,PR closed date,Bug duration,Fix loc,Fix files,Fix modules,Bug priority,Reopen?
134632,"{'A-coherence', 'T-compiler', 'D-terse', 'F-negative_impls', 'A-diagnostics'}",https://github.com/rust-lang/rust/issues/134632,Positive and Negative Trait Implementations Clash Unexpectedly,2024-12-21T23:02:19Z,2024-12-22T13:27:08Z,134639,https://github.com/rust-lang/rust/pull/134639,Make sure we note ambiguity causes on positive/negative impl conflicts,2024-12-22 02:04,2024-12-22 13:27,0,63,"['mod.rs', 'ambiguity-cause.negative_coherence.stderr', 'ambiguity-cause.rs', 'ambiguity-cause.simple.stderr']","['compiler/rustc_trait_selection/src/traits/specialize', 'tests/ui/traits/negative-impls', 'tests/ui/traits/negative-impls', 'tests/ui/traits/negative-impls']",,0
134546,"{'I-ICE', 'requires-incomplete-features', 'requires-nightly', 'T-compiler', 'C-bug', 'F-generic_const_exprs', 'A-const-generics'}",https://github.com/rust-lang/rust/issues/134546,ICE: unsized type for `NullaryOp::SizeOf` through `size_of` const expr in type alias,2024-12-20T05:01:17Z,2024-12-20T08:37:52Z,,,,,,0,,,,,0
134541,"{'I-ICE', 'A-MIR', 'T-compiler', 'C-bug', 'E-needs-mcve'}",https://github.com/rust-lang/rust/issues/134541,Internal Compiler Error in rustc with axum-client-ip-0.6.1,2024-12-20T03:19:05Z,2024-12-21T09:20:38Z,134575,https://github.com/rust-lang/rust/pull/134575,Handle `DropKind::ForLint` in coroutines correctly,2024-12-20 17:48,2024-12-21 09:20,1,101,"['scope.rs', 'tail_expr_drop_order-on-coroutine-unwind.rs', 'tail_expr_drop_order-on-coroutine-unwind.stderr']","['compiler/rustc_mir_build/src/builder', 'tests/ui/drop', 'tests/ui/drop']",,0
134246,"{'I-ICE', 'F-async_closure', 'T-compiler', 'C-bug', 'A-stable-MIR'}",https://github.com/rust-lang/rust/issues/134246,ICE: not yet implemented: FIXME(async_closures): Lower these to SMIR,2024-12-13T07:20:53Z,2024-12-14T22:42:33Z,134295,https://github.com/rust-lang/rust/pull/134295,Encode coroutine-closures in SMIR,2024-12-14 03:45,2024-12-14 22:42,1,141,"['internal.rs', 'mod.rs', 'mir.rs', 'body.rs', 'pretty.rs', 'ty.rs', 'visitor.rs', 'async-closure.rs', 'async-closure.stdout']","['compiler/rustc_smir/src/rustc_internal', 'compiler/rustc_smir/src/rustc_internal', 'compiler/rustc_smir/src/rustc_smir/convert', 'compiler/stable_mir/src/mir', 'compiler/stable_mir/src/mir', 'compiler/stable_mir/src', 'compiler/stable_mir/src', 'tests/ui/stable-mir-print', 'tests/ui/stable-mir-print']",,0
133904,"{'I-ICE', 'A-MIR', 'T-compiler', 'A-const-eval', 'S-has-mcve', 'C-bug', 'A-repr'}",https://github.com/rust-lang/rust/issues/133904,ICE: panicked at compiler/rustc_mir_build/src/build/expr/as_rvalue.rs:215:65,2024-12-05T10:02:34Z,2024-12-05T10:44:41Z,,,,,,0,,,,,0
133529,"{'A-async-await', 'A-impl-trait', 'requires-nightly', 'A-edition-2024'}",https://github.com/rust-lang/rust/issues/133529,Edition 2024 now reports: argument requires that `'1` must outlive `'static`,2024-11-27T09:36:42Z,2024-11-27T16:04:44Z,,,,,,0,,,,,0
133427,"{'T-types', 'A-impl-trait', 'I-unsound', 'P-high', 'C-bug', 'F-return_position_impl_trait_in_trait'}",https://github.com/rust-lang/rust/issues/133427,RPITITs may imply unsound outlives for late-bound args in signature,2024-11-24T22:32:26Z,2024-11-28T06:18:17Z,133428,https://github.com/rust-lang/rust/pull/133428,Actually use placeholder regions for trait method late bound regions in `collect_return_position_impl_trait_in_trait_tys`,2024-11-24 23:13,2024-11-28 06:18,3,136,"['compare_impl_item.rs', 'do-not-imply-from-trait-impl.rs', 'do-not-imply-from-trait-impl.stderr', 'method-signature-matches.lt.stderr', 'rpitit-hidden-types-self-implied-wf.stderr', 'signature-mismatch.failure.stderr', 'signature-mismatch.rs', 'rpitit-impl-captures-too-much.stderr']","['compiler/rustc_hir_analysis/src/check', 'tests/ui/impl-trait/in-trait', 'tests/ui/impl-trait/in-trait', 'tests/ui/impl-trait/in-trait', 'tests/ui/impl-trait/in-trait', 'tests/ui/impl-trait/in-trait', 'tests/ui/impl-trait/in-trait', 'tests/ui/impl-trait/precise-capturing']",P-high,0
133388,"{'I-ICE', 'A-trait-objects', 'T-types', 'C-bug'}",https://github.com/rust-lang/rust/issues/133388,Check for `dyn` providing all of its projections is incomplete w.r.t. different supertrait substitutions,2024-11-23T17:09:06Z,2024-12-15T04:43:08Z,133392,https://github.com/rust-lang/rust/pull/133392,Fix ICE when multiple supertrait substitutions need assoc but only one is provided,2024-11-23 18:48,2024-12-15 04:43,21,347,"['dyn_compatibility.rs', 'errors.rs', 'missing-associated-types.stderr', 'assoc_type_bounds.rs', 'assoc_type_bounds.stderr', 'assoc_type_bounds2.rs', 'assoc_type_bounds2.stderr', 'require-assoc-for-all-super-substs.rs', 'require-assoc-for-all-super-substs.stderr', 'issue-28344.stderr']","['compiler/rustc_hir_analysis/src/hir_ty_lowering', 'compiler/rustc_hir_analysis/src/hir_ty_lowering', 'tests/ui/associated-types', 'tests/ui/dyn-compatibility', 'tests/ui/dyn-compatibility', 'tests/ui/dyn-compatibility', 'tests/ui/dyn-compatibility', 'tests/ui/dyn-compatibility', 'tests/ui/dyn-compatibility', 'tests/ui/issues']",,0
133361,"{'A-trait-objects', 'A-coherence', 'T-types', 'I-unsound', 'P-high', 'C-bug'}",https://github.com/rust-lang/rust/issues/133361,Coherence with object types with overlapping supertrait projections is incomplete,2024-11-23T02:20:57Z,2025-02-22T06:08:11Z,,,,,,91,,,,P-high,0
133252,"{'I-ICE', 'S-bug-has-test', 'T-compiler', 'S-has-mcve', 'C-bug', 'A-borrow-checker', 'A-edition-2024'}",https://github.com/rust-lang/rust/issues/133252,"ICE: borrowck `best_blame_constraint` unwrap on a `None` value, `OpaqueTypeKey { def_id...` / `None` in `compiler/rustc_borrowck/src/region_infer/mod.rs `",2024-11-20T14:56:23Z,2024-12-29T10:03:50Z,,,,,,38,50,"['mod.rs', 'implementation-not-general-enough-ice-133252.rs', 'implementation-not-general-enough-ice-133252.stderr']","['compiler/rustc_borrowck/src/region_infer', 'tests/ui/borrowck', 'tests/ui/borrowck']",,0
